Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1871,M,M,0.05,0.11,0.12,0.07,0.09,0.19,0.07,0.21,0.21,0.1
1872,0.02,0.01,0.05,0.05,0.1,0.2,0.1,0.22,0.1,0.11,0.14,0.08
1873,0.14,0.03,0.09,0.09,0.09,0.05,0.11,0.08,0.13,0.2,0.11,0.06
1874,0.1,0.08,0.04,0.13,0.12,0.1,0.18,0.17,0.09,0.04,0.1,0.03
1875,0.08,0.1,0.12,0.11,0.08,0.18,0.06,0.09,0.12,0.11,0.09,0.05
1876,0.08,0.13,0.17,0.09,0.15,0.09,0.19,0.02,0.14,0.05,0.09,0.08
1877,0.09,0.02,0.19,0.08,0.07,0.11,0.09,0.25,0.04,0.18,0.26,0.04
1878,0.12,0.12,0.07,0.19,0.04,0.1,0.05,0.09,0.04,0.14,0.12,0.17
1879,0.07,0.14,0.14,0.12,0.03,0.22,0.12,0.12,0.09,0.05,0.16,0.11
1880,0.17,0.16,0.05,0.09,0.04,0.1,0.1,0.07,0.11,0.14,0.11,0.1
1881,0.14,0.19,0.16,0.05,0.18,0.13,0.13,0.05,0.09,0.09,0.1,0.22
1882,0.14,0.16,0.13,0.07,0.13,0.11,0.06,0.02,0.25,0.09,0.03,0.08
1883,0.08,0.1,0.05,0.04,0.09,0.1,0.16,0.01,0.09,0.11,0.12,0.08
1884,0.15,0.24,0.16,0.2,0.21,0.05,0.22,0.13,0.02,0.07,0.08,0.21
1885,0.1,0.13,0.05,0.07,0.06,0.14,0.18,0.19,0.05,0.14,0.11,0.09
1886,0.15,0.2,0.11,0.08,0.13,0.06,0.12,0.13,0.19,0.22,0.18,0.16
1887,0.13,0.2,0.13,0.17,0.06,0.14,0.15,0.21,0.02,0.08,0.16,0.17
1888,0.2,0.19,0.12,0.13,0.11,0.09,0.06,0.14,0.27,0.24,0.25,0.15
1889,0.11,0.1,0.09,0.08,0.09,0.11,0.1,0.09,0.08,0.11,0.27,0.16
1890,0.09,0.14,0.2,0.08,0.2,0.15,0.12,0.1,0.16,0.22,0.08,0.16
1891,0.25,0.15,0.18,0.06,0.11,0.09,0.15,0.04,0.06,0.1,0.08,0.13
1892,0.14,0.08,0.07,0.03,0.14,0.15,0.09,0.26,0.1,0.05,0.13,0.04
1893,0.07,0.16,0.12,0.12,0.24,0.12,0.03,0.09,0.08,0.17,0.06,0.17
1894,0.1,0.1,0.06,0.09,0.24,0.07,0.1,0.11,0.09,0.15,0.07,0.06
1895,0.08,0.03,0.11,0.2,0.05,0.07,0.12,0.15,0.06,0.06,0.24,0.11
1896,0.06,0.18,0.26,0.06,0.1,0.07,0.1,0.08,0.32,0.1,0.08,0.07
1897,0.13,0.09,0.15,0.09,0.19,0.17,0.08,0.05,0.08,0.01,0.22,0.14
1898,0.21,0.27,0.04,0.14,0.08,0.13,0.06,0.13,0.12,0.19,0.18,0.09
1899,0.11,0.12,0.21,0.05,0.02,0.03,0.13,0.05,0.15,0.05,0.1,0.09
1900,0.2,0.33,0.19,0.08,0.13,0.04,0.05,0.12,0.09,0.19,0.18,0.08
1901,0.11,0.06,0.21,0.25,0.23,0.03,0.14,0.11,0.07,0.1,0.06,0.23
1902,0.09,0.12,0.28,0.13,0.07,0.13,0.07,0.14,0.14,0.16,0.03,0.21
1903,0.16,0.12,0.18,0.08,0.02,0.18,0.08,0.06,0.07,0.12,0.05,0.11
1904,0.13,0.08,0.08,0.25,0.15,0.08,0.05,0.12,0.12,0.04,0.06,0.05
1905,0.17,0.06,0.06,0.05,0.08,0.1,0.12,0.09,0.18,0.03,0.15,0.18
1906,0.09,0.07,0.16,0.12,0.15,0.24,0.14,0.06,0.02,0.09,0.1,0.15
1907,0.08,0.11,0.08,0.09,0.06,0.12,0.12,0.07,0.26,0.08,0.15,0.13
1908,0.08,0.13,0.07,0.07,0.15,0.02,0.08,0.12,0.02,0.12,0.04,0.09
1909,0.15,0.18,0.09,0.1,0.1,0.08,0.07,0.05,0.16,0.05,0.09,0.07
1910,0.09,0.17,0.05,0.14,0.05,0.11,0.05,0.09,0.1,0.04,0.06,0.11
1911,0.08,0.18,0.18,0.08,0.04,0.09,0.15,0.08,0.09,0.06,0.12,0.14
1912,0.16,0.15,0.2,0.12,0.12,0.02,0.08,0.07,0.1,0.07,0.12,0.13
1913,0.08,0.1,0.17,0.07,0.09,0.02,0.07,0.1,0.12,0.18,0.04,0.14
1914,0.1,0.14,0.14,0.15,0.07,0.08,0.1,0.12,0.02,0.07,0.11,0.1
1915,0.19,0.13,0,0.11,0.07,0.06,0.35,0.19,0.02,0.05,0.09,0.16
1916,0.07,0.15,0.17,0.19,0.18,0.21,0.12,0.07,0.05,0.04,0.1,0.2
1917,0.15,0.12,0.15,0.1,0.1,0.36,0.06,0.15,0.01,0.13,0.03,0.14
1918,0.11,0.09,0.06,0.09,0.06,0.09,0.09,0.15,0.19,0.08,0.11,0.14
1919,0.15,0.08,0.13,0.07,0.17,0.06,0.05,0.06,0.12,0.11,0.16,0.06
1920,0.11,0.31,0.18,0.23,0.1,0.09,0.12,0.12,0.27,0.04,0.2,0.2
1921,0.06,0.15,0.08,0.11,0.07,0.09,0.1,0.08,0.05,0.07,0.23,0.1
1922,0.11,0.18,0.12,0.17,0.18,0.36,0.08,0.09,0.06,0.07,0.04,0.16
1923,M,M,0.13,0.17,0.06,0.1,0.09,M,0.03,0.1,0.09,0.12
1924,0.15,0.13,0.03,0.22,0.14,0.06,0.08,0.11,0.14,0,0.03,0.07
1925,0.19,0.12,0.2,0.08,0.04,0.12,0.08,0.02,0.06,0.15,0.1,0.11
1926,0.11,0.19,0.11,0.09,0.07,0.06,0.07,0.06,0.06,0.14,0.2,0.11
1927,0.14,0.18,0.04,0.04,0.12,0.09,0.13,0.18,0.07,0.09,0.1,0.18
1928,0.09,0.14,0.09,0.17,0.15,0.1,0.08,0.11,0.13,0.07,0.05,0.11
1929,0.13,0.15,0.11,0.15,0.11,0.07,0.06,0.14,0.07,0.1,0.15,0.16
1930,M,M,0.26,0.05,0.16,0.07,0.12,0.08,0.05,0.13,M,M
1931,0.1,0.11,0.22,0.11,0.12,0.18,0.09,0.11,0.1,0.14,0.04,0.11
1932,0.22,0.15,0.14,0.07,0.03,0.05,0.12,0.14,0.18,0.11,0.15,0.04
1933,0.17,0.22,0.19,0.31,0.07,0.05,0.08,0.09,0.2,0.22,0.06,0.24
1934,0.14,0.26,0.12,0.15,0.07,0.12,0.11,0.04,0.19,0.07,0.1,0.13
1935,0.4,M,M,0.07,0.04,0.21,0.09,0.09,0.15,0.02,M,M
1936,M,M,M,0.15,0.05,0.09,0.02,0.07,0.07,0.09,M,M
1937,M,M,0.18,0.19,0.18,0.13,0.03,0.06,0.13,M,M,M
1938,0.13,0.15,0.1,0.09,0.13,0.12,0.18,0.05,0.22,0.09,0.13,0.14
1939,0.1,0.13,0.26,0.19,0.05,0.07,0.19,0.09,0.05,0.11,0.02,0.13
1940,0.12,0.16,0.17,0.24,0.18,0.1,0.1,0.04,0.13,0.01,M,0.1
1941,0.09,0.11,0.07,0.02,0.05,0.02,0.08,0.08,0.05,0.07,0.1,0.09
1942,0.1,0.14,0.24,0.07,0.06,0.2,0.16,0.03,0.04,0.08,0.16,0.16
1943,0.07,0.1,0.08,0.11,0.2,0.08,0.12,0.11,0.05,0.21,0.19,0.03
1944,0.07,0.14,0.16,0.13,0.03,0.18,0.1,0.02,0.23,0.08,0.22,0.12
1945,0.13,0.14,0.06,0.11,0.22,0.19,0.08,0.04,0.13,0.18,0.17,0.19
1946,0.12,0.09,0.03,0.09,0.11,0.06,0.07,0.27,0.1,0.05,0.07,0.14
1947,0.13,0.08,0.09,0.09,0.14,0.13,0.1,0.01,0.06,0.01,0.16,0.06
1948,0.08,0.06,0.08,0.1,0.25,0.13,0.04,0.03,0.01,0.11,0.22,0.12
1949,0.15,0.11,0.07,0.12,0.11,0.07,0.06,0.04,0.21,0.07,0.14,0.06
1950,0.14,0.09,0.13,0.08,0.05,0.05,0.03,0.15,0.06,0.07,0.19,0.13
1951,0.09,0.13,0.3,0.18,0.09,0.1,0.19,0.08,0.08,0.13,0.27,0.21
1952,0.17,0.2,0.1,0.14,0.16,0.18,0.02,0.11,0.09,0.06,0.07,0.17
1953,0.17,0.12,0.32,0.17,0.12,0.03,0.08,0.11,0.09,0.12,0.13,0.13
1954,0.08,0.15,0.13,0.14,0.22,0.12,0.08,0.15,0.33,0.06,0.18,0.17
1955,0.02,0.18,0.13,0.08,0.08,0.08,0.07,0.1,0.06,0.22,0.12,0.03
1956,0.19,0.13,0.12,0.11,0.1,0.05,0.1,0.05,0.12,0.08,0.13,0.11
1957,0.07,0.06,0.06,0.06,0.07,0.08,0.04,0.03,0.03,0.07,0.2,0.1
1958,0.3,0.06,0.07,0.18,0.07,0.06,0.17,0.07,0.09,0.14,0.14,0.04
1959,0.1,0.1,0.15,0.06,0.05,0.16,0.07,0.07,0.11,0.17,0.17,0.16
1960,0.09,0.22,0.11,0.11,0.2,0.07,0.1,0.04,0.17,0.09,0.11,0.12
1961,0.05,0.13,0.08,0.22,0.1,0.1,0.09,0.07,0.14,0.05,0.16,0.1
1962,0.09,0.08,0.07,0.15,0.06,0.09,0.09,0.09,0.08,0.4,0.14,0.18
1963,0.09,0.11,0.11,0.07,0.11,0.07,0.08,0.1,0.08,0.06,0.33,0.07
1964,0.15,0.09,0.12,0.11,0.05,0.07,0.11,0.06,0.03,0.11,0.11,0.12
1965,0.05,0.23,0.03,0.1,0.02,0.08,0.02,0.06,0.08,0.08,0.13,0.08
1966,0.16,0.12,0.12,0.03,0.06,0.1,0.03,0.16,0.13,0.12,0.17,0.11
1967,0.08,0.17,0.07,0.16,0.17,0.21,0.11,0.08,0.09,0.04,0.08,0.19
1968,0.1,0.04,0.13,0.11,0.12,0.13,0.02,0.06,0.05,0.06,0.26,0.25
1969,0.12,0.22,0.11,0.1,0.05,0.12,0.18,0.07,0.18,0.08,0.28,0.31
1970,0.02,0.15,0.14,0.14,0.1,0.1,0.03,0.17,0.15,0.12,0.08,0.17
1971,0.07,0.24,0.15,0.06,0.13,0.04,0.1,0.1,0.12,0.13,0.14,0.09
1972,0.07,0.18,0.19,0.08,0.1,0.14,0.07,0.03,0.14,0.13,0.26,0.21
1973,0.08,0.09,0.11,0.33,0.2,0.16,0.05,0.11,0.07,0.11,0.08,0.31
1974,0.11,0.07,0.12,0.13,0.14,0.16,0.12,0.05,0.18,0.06,0.16,0.14
1975,0.14,0.09,0.1,0.12,0.04,0.16,0.07,0.13,0.14,0.15,0.2,0.26
1976,0.14,0.1,0.08,0.08,0.13,0.05,0.24,0.16,0.06,0.17,0.03,0.1
1977,0.21,0.13,0.22,0.12,0.07,0.11,0.09,0.09,0.15,0.27,0.22,0.21
1978,0.22,0.03,0.14,0.15,0.14,0.08,0.05,0.08,0.02,0.1,0.08,0.1
1979,0.38,0.13,0.13,0.22,0.17,0.07,0.19,0.18,0.11,0.22,0.13,0.08
1980,0.03,0.05,0.15,0.19,0.06,0.11,0.06,0.07,0.1,0.1,0.16,0.04
1981,0.03,0.25,0.05,0.12,0.07,0.15,0.18,0.07,0.2,0.15,0.09,0.15
1982,0.17,0.09,0.1,0.15,0.09,0.23,0.08,0.11,0.06,0.06,0.12,0.04
1983,0.15,0.14,0.31,0.23,0.19,0.05,0.14,0.08,0.05,0.11,0.45,0.28
1984,0.08,0.17,0.17,0.16,0.31,0.13,0.12,0.07,0.03,0.11,0.12,0.11
1985,0.03,0.06,0.1,0.04,0.07,0.09,0.11,0.1,0.1,0.13,0.21,0.08
1986,0.21,0.09,0.14,0.12,0.08,0.13,0.11,0.06,0.09,0.07,0.17,0.19
1987,0.17,0,0.14,0.21,0.08,0.17,0.06,0.08,0.15,0.08,0.13,0.06
1988,0.06,0.12,0.06,0.12,0.14,0.08,0.19,0.17,0.05,0.11,0.29,0.04
1989,0.04,0.08,0.07,0.1,0.28,0.15,0.08,0.06,0.15,0.16,0.13,0.07
1990,0.1,0.09,0.05,0.17,0.17,0.14,0.1,0.06,0.1,0.24,0.25,0.25
1991,0.09,0.07,0.2,0.22,0.12,0.05,0.08,0.49,0.18,0.09,0.14,0.13
1992,0.15,0.12,0.13,0.08,0.04,0.13,0.13,0.08,0.1,0.08,0.15,0.07
1993,0.09,0.14,0.2,0.19,0.04,0.1,0.09,0.04,0.14,0.12,0.14,0.17
1994,0.17,0.05,0.22,0.1,0.16,0.04,0.06,0.09,0.22,0.02,0.12,0.2
1995,0.16,0.13,0.07,0.08,0.11,0.09,0.1,0.02,0.08,0.16,0.24,0.14
1996,0.17,0.1,0.09,0.21,0.12,0.06,0.2,0.02,0.12,0.54,0.06,0.21
1997,0.15,0.09,0.13,0.17,0.08,0.03,0.06,0.13,0.09,0.04,0.17,0.08
1998,0.16,0.2,0.14,0.11,0.12,0.3,0.09,0.13,0.1,0.34,0.06,0.05
1999,0.19,0.14,0.15,0.01,0.16,0.03,0.05,0.05,0.29,0.13,0.08,0.06
2000,0.11,0.1,0.12,0.18,0.1,0.07,0.13,0.06,0.08,0.1,0.14,0.14
2001,0.04,0.09,0.26,0.04,0.04,0.18,0.07,0.04,0.14,0.06,0.07,0.07
2002,0.1,0.09,0.13,0.13,0.14,0.15,0.11,0.04,0.12,0.13,0.17,0.15
2003,0.04,0.13,0.12,0.11,0.1,0.07,0.05,0.07,0.16,0.18,0.1,0.15
2004,0.01,0.07,0.06,0.22,0.15,0.07,0.12,0.2,0.11,0.07,0.13,0.14
2005,0.11,0.12,0.16,0.29,0.21,0.17,0.09,0.08,0.07,0.46,0.26,0.17
2006,0.12,0.1,0.03,0.1,0.4,0.31,0.18,0.08,0.12,0.27,0.18,0.11
2007,0.09,0.03,0.1,0.3,0.07,0.11,0.15,0.1,0.11,0.21,0.14,0.12
2008,0.1,0.28,0.18,0.15,0.04,0.13,0.15,0.2,0.36,0.1,0.18,0.15
2009,0.08,0.1,0.09,0.15,0.15,0.29,0.28,0.17,0.05,0.16,0.26,0.17
2010,0.09,0.22,0.36,0.05,0.06,0.12,0.13,0.1,0.08,0.23,0.17,0.13
2011,0.08,0.15,0.16,0.21,0.14,0.12,0.15,0.17,0.11,0.21,0.1,0.11
2012,0.14,0.05,0.07,0.16,0.19,0.29,0.14,0.2,0.13,0.12,0.03,0.27
2013,0.04,0.22,0.05,0.07,0.15,0.24,0.11,0.06,0.22,0.03,0.11,0.14
2014,0.13,0.15,0.14,0.09,0.12,0.14,0.2,0.28,0.03,0.21,0.13,0.2
2015,0.15,0.1,0.06,0.17,0.07,0.21,0.04,0.08,0.24,0.08,0.08,0.17
2016,0.11,0.14,0.14,0.05,0.07,0.15,0.05,0.06,0.03,0.27,0.14,0.17
2017,0.12,0.16,0.11,0.21,0.19,0.09,0.03,0.1,0.07,0.17,0.07,0.11
2018,0.11,0.16,0.1,0.19,0.03,0.11,0.12,0.12,0.19,0.16,0.34,0.12
2019,0.18,0.14,0.09,0.17,0.13,0.2,0.08,0.14,0.01,0.2,0.1,0.27
2020,0.11,0.12,0.11,0.17,0.07,0.11,0.08,0.07,0.02,0.13,0.19,0.17
2021,0.07,0.1,0.09,0.12,0.07,0.03,0.3,0.07,0.14,0.23,0.12,0.12
2022,0.09,0.14,0.1,0.17,0.04,0.09,0.04,0.18,0.14,0.25,0.17,M