Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1874,M,M,M,36.5,52.4,61.6,67.5,64.8,60,50.2,37.2,26.3,50.7
1875,16.1,19.4,29.2,40.8,54.9,63.7,69.1,70.1,58.9,48.4,33.2,27,44.2
1876,26.9,24.5,33,43.3,53.1,66.5,73.1,71.3,58.6,47.3,40.7,21,46.6
1877,19.7,32.1,33.6,46.6,56,66,69.6,69.7,64.2,50.2,43.4,34.1,48.8
1878,26.3,31,38.6,49.2,56.9,64.8,73,67.9,62.8,54.5,39.6,29.8,49.5
1879,23.3,24.5,33.8,43,58.9,62.5,69.8,68.6,60.5,56,38.2,28.5,47.3
1880,31.8,29.2,32.8,45.5,59.7,65.9,71.6,68.8,62.6,50.2,37.6,26.7,48.5
1881,21.4,27.7,37.9,44,55.7,60.9,69,70,64.4,50.9,41,36.2,48.3
1882,23.7,29,35.6,43.6,51.9,65.9,71.6,70.3,62.3,54,39.8,28.1,48
1883,20.6,25.6,28,44.7,55,66.8,70.3,68.2,59.2,48.1,41.6,26.9,46.3
1884,21.4,29.2,33.5,45.4,53.8,67,68.1,68.4,64,50.7,39.9,31.2,47.7
1885,25.2,21.5,29,46.9,55.6,66,68,64.5,56.7,47.8,38.7,27.1,45.6
1886,21.5,21.9,29.4,45,53.2,60.7,66.7,65.4,58.8,48.2,38.7,22.7,44.3
1887,18.2,22.2,28.4,39.8,55.6,61.3,70.2,64.6,57.1,47.9,37.6,27.9,44.2
1888,14.3,22.3,28.7,38.4,48.6,62.9,65.2,65.6,55.7,43.3,38.2,29.6,42.7
1889,29.1,20.7,34.6,44.4,55.4,64.2,66.4,64.6,59.9,46.3,40.9,32.4,46.6
1890,M,26.8,M,41.7,52.1,60.8,67.5,65.9,59.7,47.7,36.5,16.5,47.5
1891,23.8,25.2,30.4,43.3,49.6,60.8,65,66,62.8,47.4,M,M,47.4
1892,M,24.7,30.1,43.7,51.4,63.6,68.9,66.3,59.2,48,37.2,25,47.1
1893,M,M,M,38.9,52.1,60.3,68.3,66.7,55.7,50.8,38.1,M,53.9
1894,M,20.2,36.7,42.6,52.1,62.8,69.7,64.6,60.3,50.6,35.1,M,49.5
1895,21.1,20.5,29.4,42.5,54.8,63.4,65.8,66.2,61.8,46.1,40.2,29.7,45.1
1896,20.1,21.9,28.6,43.3,55,62.6,68,66.1,57.7,46.2,40.3,25.2,44.6
1897,23.6,26,31.8,43.8,52.2,58.2,66.1,65.9,59,50,36.3,28,45.1
1898,21.4,27.6,37.4,41.2,52.6,61.3,67.8,69.7,61.2,50,38.7,26.7,46.3
1899,23.3,22.3,29.3,43.7,54.1,64.5,67.9,65.5,57.6,50.6,37.4,32.1,45.7
1900,23.9,23.4,28.4,45,49.8,64.7,69.4,67.7,61.4,53,40,27,46.1
1901,21.3,20.2,31.7,43,51.5,63.8,69.6,67.4,61.8,50.3,33.5,28.3,45.2
1902,22.2,25.6,39.6,44.2,52.6,59.5,65.5,63.6,58.9,49.3,40.5,23.4,45.4
1903,23,26.3,39.1,43.2,53.3,56.7,66.5,61.5,61.2,49.5,35.8,23.9,45
1904,15.6,15.7,30.3,40.2,56.1,60.5,66.7,64.5,57.3,46.4,33.5,18.6,42.1
1905,17.9,18.5,31.6,42.2,52.1,59.3,67.5,65,58.3,49.1,36.8,29.2,44
1906,29.2,24.2,26.9,41.4,51.7,61.4,67.6,69.1,59.8,48.5,37.4,22.2,45
1907,18.5,16.6,32.2,38.9,48.1,59.6,67.1,64.6,58.9,46,38,31.5,43.3
1908,25.7,21.4,32.3,40.7,54.3,64.6,69.8,65.4,62.5,51.6,37.8,26.4,46
1909,23,25.1,31.6,40.8,51.4,65,66.5,66.2,58.9,49.5,41,27.2,45.5
1910,27.7,23.2,37.2,45.7,52.6,61.2,69.7,64.3,58.6,50,37.3,22,45.8
1911,24.1,19.2,29.5,41.1,56.8,61.2,71.7,64.6,57.9,49.4,37.4,33,45.5
1912,15.3,23.1,30.3,42.5,54,61.5,68.2,62.9,58.1,52.2,39.7,32.3,45
1913,31.6,21,35.2,43.3,50,62.2,68.6,65.7,58.3,53.3,41.3,32,46.9
1914,20.5,17.2,32.7,39.8,55.3,61.8,64.6,64.1,61.3,51.2,36.6,24.4,44.1
1915,26.4,28.4,32.2,45.8,52.2,59.2,64.3,63.8,61.5,51.2,40.9,29.5,46.3
1916,26.7,20.7,26.8,41.8,52.4,58.3,67.9,66.3,58.8,50.5,36.6,27.3,44.5
1917,22.4,19.3,32.1,40.1,47.3,58.2,68.9,66.9,56.5,47,34.7,17.8,42.6
1918,15.1,18.8,31.1,42.9,56.6,58.8,66.7,65.4,56.7,50.3,39.7,28,44.2
1919,25.7,27.4,36.5,42.3,54.2,62.9,69.4,64.1,57.8,49.5,38.4,22.9,45.9
1920,14.7,22.2,34.5,41.3,51.1,61.9,67.6,67.9,61,55.5,35.6,29.8,45.3
1921,26.3,26.8,39.2,46.1,54.5,63.3,69.1,65.6,63.3,50.8,35.3,25.6,47.2
1922,21.2,24.2,34.9,44.4,55.8,62.7,67.5,67.3,60,49.5,39.3,23.8,45.9
1923,19.3,16.9,26.5,42,53.3,64.5,66.2,64.1,60.3,51.6,40.5,34.1,44.9
1924,24.3,19.8,34,42.3,51.6,61.7,68.5,66.5,57.7,51.5,40.1,24.2,45.2
1925,17.6,30.6,36.7,45.2,51.8,64.5,67,67.6,58.6,44.5,39.3,27.6,45.9
1926,24.1,22.1,28.5,39,51.8,59.3,66.1,64.9,58.5,49.1,39.4,22.8,43.8
1927,25.3,24.7,35.6,43.8,50.2,61.4,66.7,63.3,61.5,53,42.4,30.7,46.6
1928,26.2,24.7,32,41.2,50.5,60,69,69.4,57,51,39.7,33.5,46.2
1929,23.8,26.3,35.7,42.4,54.7,63,67.5,64.8,60.5,48.9,39.7,25.6,46.1
1930,24.3,26.3,33.4,42.3,55,66.5,68.8,65.7,64.7,51,41.2,28.3,47.3
1931,25.2,26.1,36.6,45.7,54.8,64.3,69.9,68,63.3,53.7,44.6,31.9,48.7
1932,32.6,24.7,31.4,44.3,55.7,63.2,68.2,70.1,62.2,52.6,38.9,32.9,48.1
1933,32.3,29,32.4,42.8,55.3,64.7,66.8,67.9,61,50.6,35.2,20.6,46.6
1934,23.6,13.9,31.8,44.9,56.2,62.8,69.8,64.7,62.8,48,41.5,25,45.4
1935,18,23.4,33.6,43.4,53.5,63.2,70.8,69,59.3,49.8,43.1,24.4,46
1936,24.6,20,38.2,42.4,55.2,62.9,66.6,67.2,59.3,50.4,35.9,31,46.1
1937,31.6,30.4,31.3,43.3,56.2,63.8,70.7,72.5,61,49.2,40.5,27,48.1
1938,23.8,26.8,33.8,44.6,52.4,64.6,68.3,71.2,58.7,53.1,42,31,47.5
1939,23.6,24.8,29.1,40.4,53.3,61.2,67.9,69.7,60.1,49.8,37.1,28.9,45.5
1940,19,27.1,30.5,40.4,52.6,60.4,68.4,65.5,59.9,48,M,24.5,45.1
1941,17,24.3,27.3,46.5,55,63.9,68,64.2,58.8,48,39.9,29.4,45.2
1942,20.6,22.1,36,44.7,54.8,62.4,66.9,66.4,58.9,49.1,36.3,22.8,45.1
1943,17.7,22.9,29.6,38.4,52.9,64.7,68.5,65.4,57.3,49.1,37.4,21,43.7
1944,22.7,21.2,29.1,38.9,55.7,61.3,68.5,70.7,59.5,47.6,38.2,23.5,44.7
1945,16.1,21.9,38.6,47.1,49.5,60.9,67.1,66.4,60.5,45.9,37.8,22.1,44.5
1946,19.8,19.1,39.5,40.4,51.5,61.8,65.5,64.3,60.8,51,40.6,26.6,45.1
1947,21.5,24.6,32.5,41.3,51.4,60.2,70.6,68.7,59.5,55.3,36.2,22.8,45.4
1948,15.6,18.2,30.8,41.4,50,59.5,70.2,69.4,60.3,47.9,42.5,29.8,44.6
1949,26.6,26.3,33.2,45.6,53.8,64.7,70.8,69,57.2,51.6,36.3,30,47.1
1950,26.9,18.3,26.3,40.8,52.8,62.4,68,65.7,54.5,49.2,41.5,29.4,44.7
1951,25.4,27.4,33.2,45.6,53.9,59.9,68.7,66.4,59.2,48.9,35.7,25.4,45.8
1952,23.4,26,31.7,43.8,51.6,64.9,71.6,67.3,59.4,46.6,37.7,30.1,46.2
1953,28.5,27.6,34.4,44.1,53.8,62.5,67.7,65.6,58.9,49.9,41.2,33,47.3
1954,17.8,29.2,31.6,43,51.2,61.3,65.9,63.9,56.4,51.7,38.6,27.4,44.8
1955,22.3,26.7,30.4,43.7,56,62.6,71,68.5,57.1,48.5,36.1,18.1,45.1
1956,27.3,24.6,25.6,39.9,48.2,61.9,65.1,65.5,55,48,38,27.5,43.9
1957,13.9,26.8,33.6,44.6,54.5,64.1,67,63.3,60.3,49.6,40.7,32.9,45.9
1958,26.6,18.9,36.1,43.7,50.9,58.1,66.9,66.4,58.6,45.8,38.6,18,44.1
1959,21.3,18.1,30.7,43,56.2,59.1,69.8,68.5,60.9,47.9,38.6,29.7,45.3
1960,23.7,28.8,27.3,42.4,54.4,63.7,66.7,66.2,58.8,46.2,40.6,22.2,45.1
1961,15.3,24.2,30.1,41.9,51.1,62.6,65.8,66.3,64.1,50.8,39.7,26.1,44.8
1962,20.6,18.1,33.4,41.9,51,62.3,64,64.8,56.1,47.6,36.1,23.8,43.3
1963,23.6,17.4,31.8,42.4,52.5,63,68.9,62.9,54.8,52.3,41.7,16.5,44
1964,24.4,22.9,31.9,40.8,54.8,62.6,67.5,61.1,55.5,47,36.2,25.3,44.2
1965,19.7,21.6,33.3,41.1,54.7,63.1,66.3,66.5,58,47.5,36.6,27.8,44.7
1966,22.3,22.6,32.6,39.9,50.3,63.1,67.7,66.1,56.2,47,41.1,26.7,44.6
1967,24.4,17.2,26.4,41.5,47.2,63.3,67.5,66.8,59.9,49.7,34.7,27.8,43.9
1968,16.5,19.2,33.2,45.1,51,60,70,66.4,61.7,52.8,36.7,25.2,44.8
1969,24.2,25,31.1,43,52.8,62.6,67.6,71.3,60.8,48.9,41.1,28.7,46.4
1970,16.7,25.4,32.4,43.6,55.7,63.5,70.1,68.7,60.9,51.6,41.3,19.5,45.8
1971,12.1,21.9,31.6,41.6,52.7,64.3,69,68.9,61.3,52.5,35.4,27.3,44.9
1972,22.2,21.1,28.9,40.6,52.5,59.6,67.5,65.3,58.7,45.1,35,24,43.4
1973,23.1,23.4,37.6,45.5,51.3,63.8,70.8,70.9,58.3,49.2,37.7,33.5,47.1
1974,23.1,24.4,33.9,45,50.6,61.3,68.1,67.9,58.8,44.7,39.3,30.2,45.6
1975,26.7,25,29.8,40,55.6,61.5,70.1,66.8,57.2,49.2,43,24.3,45.8
1976,15.7,28.2,31.5,44.9,52.3,65.9,65.9,65.4,57.3,43.5,36.1,19.4,43.8
1977,14.2,21.9,36.1,42.4,54.4,59,68.2,66.5,57.6,48.1,39.4,25.4,44.4
1978,21.1,19.2,30.2,40.6,52.7,61,68,68.6,57.8,48.2,36.4,26,44.2
1979,23.6,15.5,35.6,42.1,55.2,62.7,69.3,64.8,57.3,47.4,42.4,29.8,45.5
1980,22.7,20.4,32,44.3,53.7,61,69.6,71.1,61.5,45.9,36.2,21.3,45
1981,13.8,32.2,35.6,45.2,55.3,63.9,68.7,66,58.6,46.6,38.9,29.1,46.2
1982,15,23.3,32.1,42,54.6,58.3,69.2,64.3,59.2,48,41.3,32,44.9
1983,25.2,26.2,35.8,44.4,52,63.8,69.7,67.5,62.9,47.8,40.2,26.1,46.8
1984,19.8,32,28.1,43.3,52.9,63.9,69.5,69.1,57.8,49.6,39.2,31.1,46.4
1985,16.2,26.4,34.8,44.1,53.7,61.7,69.7,66.6,60.7,50.8,39.8,24.6,45.8
1986,24.9,23.3,34.6,46.5,53.6,60.9,66.3,66.1,57.3,47.9,36.3,29.6,45.6
1987,21.6,22.9,34,44.9,54.6,63.7,68,66.2,59.6,47.1,38.1,30.2,45.9
1988,21.6,25.7,34.1,43.5,54.7,63.8,71.1,71.1,59.4,46.5,41,26,46.5
1989,26.8,24,31.6,41.1,55.6,63.9,69.4,68,60.5,49.8,37.3,14,45.2
1990,30.1,25.7,34.6,44.5,51.7,62.4,70.2,69.8,59.8,52.4,41.8,33.6,48.1
1991,23.4,29.8,37,45.9,58.1,65.4,70,69.9,58.1,50.7,40.4,26.4,47.9
1992,23.9,25.8,30.8,41.4,51.8,63.4,65.8,66.8,58.9,47.3,37.6,28.9,45.2
1993,23.4,16.8,29.8,43.3,54.8,64.5,69.8,69.5,59.6,46.2,39,29.9,45.6
1994,14,19.5,33.5,44.5,52.3,66,72.4,66.4,58.4,49.4,41.5,31.5,45.8
1995,27.1,21.2,34.8,41.2,52.2,64.1,70.1,67.4,56.4,52.3,35.7,24.6,45.6
1996,21.4,23.9,29.8,42.9,52.5,63,66.4,67.4,59.7,46.8,35.1,34.5,45.3
1997,23.3,28.6,30.4,41.8,51,63.3,69,67.2,58.7,47,36.1,29.5,45.5
1998,27.1,31.3,36.7,45.8,56.8,60.6,69.5,69.5,61.2,49.2,39.4,32.4,48.3
1999,22.3,29,35.6,44.9,54.4,66.3,71.3,67.7,63.3,46.6,41.9,31.9,47.9
2000,21.5,26.4,37.7,43.3,53.2,63.6,67.1,67.3,59.8,48.9,40.4,24.6,46.2
2001,20.6,24.3,30.6,43.3,54.9,67.1,66.5,69.4,61,50.2,41.3,34.8,47
2002,30.4,28.8,34.8,44.4,52.5,61.4,69.5,70,63.1,47,37,27.4,47.2
2003,16.3,20.2,31.6,40.9,52.2,62.9,69.3,68.8,61.4,48,40.8,29.6,45.2
2004,15,25.8,34.8,44.4,54.2,60.5,66.9,67.8,60.9,49.6,38.8,28,45.6
2005,19.3,25.4,30.1,45,49.3,64.7,69.3,70.2,63.6,50.1,40.7,27.7,46.3
2006,30.2,25.8,34.5,45.7,54.6,65,71.9,66.9,60.3,49,43.8,34.5,48.5
2007,25.9,19.2,32.1,41.8,55.9,63.6,67.9,67.9,61.6,53.7,37.6,25.4,46
2008,26.5,25.9,31.9,44.8,54.2,64.4,70.7,66.2,60.3,48.8,39.3,28.5,46.8
2009,17.5,25.9,32.9,46.7,55.1,61,66.2,69.7,59.1,46.9,43,29.3,46.1
2010,25,30.8,39.8,48.8,57.9,64.6,72.2,69.3,63.4,49.3,40,29.2,49.2
2011,21.4,23.6,33.3,44.7,54.6,62.7,72.7,67.9,62.8,51.4,44.7,33.3,47.8
2012,26.9,30.5,41.1,47,56.6,63.2,71.3,70.8,59.9,52.9,38,32,49.2
2013,25.4,28,34.8,44.2,54.1,64.8,71.6,67.7,59.8,51,37.4,24.3,46.9
2014,21.4,22.1,27,43.3,54.7,64.1,69.8,66.7,60.1,54.5,38.8,33.7,46.4
2015,21.1,13.8,30.2,44.7,59.5,61.4,69.1,70.3,65.3,49,42.5,37.9,47.1
2016,27,28.8,37.8,42.7,54.7,63.7,71.2,71.8,63.8,50.4,41.5,28.1,48.5
2017,29.8,28.7,28.8,46.7,52.9,65,69,67.7,64.6,56.1,38.4,23.3,47.6
2018,21.9,31.6,34,41.8,57.4,63.5,70.9,72.2,63.6,47.8,35.6,29.7,47.5
2019,23.4,26,32,44.7,53,62.8,73.1,69,61.1,51.8,35.7,30.8,46.9
2020,29.8,29.8,39,42.5,54.4,66.2,73.7,71.6,63.4,49.5,42.1,31.2,49.4
2021,27.8,25.6,34.9,45.7,55.9,68.9,67.3,70.9,63.3,53.9,39.8,32.1,48.8
2022,20.6,27.7,35.7,44.9,55.7,62.9,72.2,72.1,60.3,51,43.2,M,49.7